laptop_names,laptop_ids,laptop_moneys,laptop_chips,laptop_memories,laptop_storages,laptop_video_cards
Laptop Asus TUF Gaming FX507ZU4-LP520W i7 12700H/8GB/512GB/15.6'' FHD/NVIDIA RTX 4050 6GB/Win11,(No.00892943),27.990.000,Intel Core i7 12700H,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,NVIDIA GeForce RTX 4050 6GB GDDR6; Intel UHD Graphics
MacBook Air 13 inch M1 2020 8CPU 7GPU 16GB/256GB,(No.00731890),27.990.000,Apple M1,16  LPDDR4,SSD 256,Apple M1 GPU 7 nhân
"Laptop MSI Gaming Cyborg 15 A12VF-267VN i7 12650H/8GB/512GB/15.6""FHD/GeForce RTX 4060 8GB/Win11/Balo",(No.00873150),27.190.000,Intel Core i7 12650H,8  (1 thanh 8 ) DDR5 4800 MHz,SSD 512,NVIDIA GeForce RTX 4060 8GB; Intel HD Graphics
MacBook Air 13 inch M2 2022 8CPU 8GPU 8GB/256GB,(No.00818144),26.990.000,Apple M2 8 - Core,8  LPDDR4 3200 MHz,SSD 256,Apple M2 GPU 8 nhân
"Laptop Acer Swift 3 SF314-512-741L i7 1260P/16GB/1T/14"" QHD/Win11",(No.00884870),29.990.000,Intel Core i7 1260P,16  (1 thanh 16 ) LPDDR4,SSD 1 TB,Intel Iris Xe Graphics
"Laptop LG Gram 14Z90R-G.AH53A5 i5 1340P/16GB/256GB/14""WUXGA/Win11",(No.00892851),25.990.000,Intel Core i5 1340P,16,SSD 256,Intel Iris Xe Graphics
"Laptop Asus Vivobook Flip TP3402VA-LZ118W i9 13900H/16GB/512GB/14""Touch/Win11",(No.00904510),23.990.000,Intel Core i9 13900H,16  (2 thanh 8 ) DDR4 5500 MHz,SSD 512,Intel Iris Xe Graphics
"Laptop Dell Inspiron 14 2in1 T7430 i5 1335U/8GB/512GB/14.0""FHD/ Win11/Office HS21/Bút",(No.00904119),23.490.000,Intel Core i5 1335U,8  (1 thanh 8 ) LPDDR5 4800 MHz,SSD 512,Intel Iris Xe Graphics
"Laptop HP Pavilion 14-dv2071TU i7 1255U/16GB/512GB/14""FHD/Win11",(No.00884156),24.690.000,Intel Core i7 1255U,16  (2 thanh 8 ) DDR4 3200 MHz,SSD 512,Intel Iris Xe Graphics
"Laptop Acer Aspire 7 Gaming A715-76G-5806 i5 12450H/16GB/512GB/15.6""FHD/GeForce RTX3050/Win11",(No.00902037),19.990.000,Intel Core i5 12450H,16  (2 thanh 8 ) DDR4 3200 MHz,SSD 512,NVIDIA GeForce RTX 3050 4GB
"Laptop Dell Inspiron 15 N3520 i7 1255U/8GB/512GB/15.6""FHD/Win11/Office HS21",(No.00888332),19.690.000,Intel Core i7 1255U,8,SSD 512,Intel Iris Xe Graphics
MacBook Air 13 inch M1 2020 8CPU 7GPU 8GB/256GB,(No.00725095),19.190.000,Apple M1,8  LPDDR4,SSD 256,Apple M1 GPU 7 nhân
"Laptop Lenovo ThinkPad E14 Gen 3 R7 5700U/8GB/512GB/14.0""FHD/Win 10",(No.00799912),18.990.000,AMD Ryzen 7 5700U,8  DDR4 3200 MHz,SSD 512,AMD Radeon Graphics
